Font Name,Description
hindmadurai,"Hind Madurai is a family of five Tamil fonts, which are part of the Indian Type Foundry’s larger Open Source Hind Multi-Script project. 
In addition to Tamil, the Hind Madurai fonts also include Latin-script characters.
 
 
Developed explicitly for use in User Interface design, Hind’s letterforms have a humanist-style construction, paired with seemingly monolinear strokes. 
Most of these strokes have flat endings: they either terminate with a horizontal or a vertical shear, rather than on a diagonal. 
This helps create clear-cut counter forms between the characters. 
Additionally, Hind’s letterforms feature open apertures and counterforms. 
The entire family feels very legible when used to set text.
 
 
The Tamil and Latin script components are scaled in relation to each other so that the head of the Tamil characters falls just below the Latin capital-height. 
Depending in the font weight, Tamil letters appear to be about 80–85% of the height of the Latin uppercase. 
Text set in the Tamil script sits nicely alongside the Latin’s lowercase, too. 
Although Hind Madurai is a “monolinear sans” face, much of its design features tends toward the traditional end of the design spectrum.
Each font in the Hind Madurai family has 552 glyphs, which includes all of the characters needed to write Tamil. 
The Latin character set is Adobe Latin 3, enabling typesetting for English and other Western European languages. 
 
 
Hind Madurai is a solid alternate when choosing typefaces for UI design, and a wise selection for electronic display embedding. 
Jyotish Sonowal designed Hind Madurai for ITF, who first published the fonts in 2015. 
Hind Madurai is named after Madurai, a city in Tamil Nadu, India.
 
 
The Hind Madurai project is led by Indian Type Foundry, a type design foundry based in Ahmedabad, India. 
To contribute, see  github.com/itfoundry/hind-madurai"
cormorant,"Cormorant is a free display type family developed by Christian Thalmann. The project currently comprises a total of 45 font files spanning 9 different visual styles (Roman, Italic, Infant, Infant Italic, Garamond, Garamond Italic, Upright Cursive, Small Caps, and Unicase) and 5 weights (Light, Regular, Medium, SemiBold, and Bold.) Cormorant was conceived, drawn, spaced, kerned, programmed, interpolated, and produced in its entirety by Christian Thalmann of Catharsis Fonts. For an illustrated presentation and description of the family, please visit its  Bēhance page . 
 While this project was heavily inspired by Claude Garamont's immortal legacy, Christian did not use any specific font as a starting point or direct reference for the designs. Most glyphs were drawn from scratch; when he needed guidance on a specific character, he searched for the term Garamond and skimmed through the results for a general impression. 
 He is grateful to the creative souls on the Typophile, TypeDrawers and Typografie forums, and Github, for a wealth of knowledge about type design, and for providing a large amount of excellent feedback on Cormorant during its development. He also thanks the tireless folks at Glyphs, in particular Rainer Erich Scheichelbauer of Schriftlabor and Georg Seifert. Special thanks go to Dave Crossland and Google Fonts for making the libre release of this font family possible through generous funding of the development process. 
 The Cormorant project is led by Christian Thalmann, a type designer based in Zurich, Switzerland. To contribute, see  github.com/CatharsisFonts/Cormorant"
teko,"Teko is an Open Source typeface that currently supports the Devanagari and Latin scripts. This font family has been created for use in headlines and other display-sized text on screen. Five font styles make up the initial release. 
 Display families with extensive character sets are rare for any script. With Indian typefaces, however, large character sets are even less common. ITF’s designs are an exception. The Teko typeface features letterforms with low stroke contrast, square proportions and a structure that appears visually simple. 
 The Regular, Medium and Semibold fonts are recommended for use in long headlines, while Bold is intended primarily for setting just one or two words. The Light is a beautiful variant that may be put to exceptionally good use in large headlines on websites. At display sizes, Teko works equally well on screen or in print. Each font contains 1090 glyphs, offering full support for the conjuncts and ligatures required by languages written with the Devanagari script. Teko is an excellent choice for use in advertising or for news tickers on television screens (breaking news, etc.) 
 Manushi Parikh designed the Teko typeface for the Indian Type Foundry, who published it in 2014. 
 In 2023, Marc Foley converted the family to a variable font. 
 To contribute, see  github.com/googlefonts/teko ."
archivo,"Archivo is a grotesque sans serif typeface family originally designed for highlights and headlines. This family is reminiscent of late nineteenth century American typefaces. The technical and aesthetic characteristics of the font are both crafted for high performance typography. It was designed to be used simultaneously in print and online platforms and supports over 200 world languages. 
 Archivo has been upgraded to a variable font in 2021. The weight and width axes allow a wide variety of styles, from Thin to Black and from ExtraCondensed to Expanded. 
 Archivo is designed by Héctor Gatti and Omnibus-Type Team. To contribute to the project visit  github.com/Omnibus-Type ."
spacegrotesk,"Space Grotesk is a proportional sans-serif typeface variant based on Colophon Foundry's fixed-width Space Mono family (2016). Originally designed by Florian Karsten in 2018, Space Grotesk retains the monospace's idiosyncratic details while optimizing for improved readability at non-display sizes.
 
 
 → floriankarsten.github.io/space-grotesk 
 
 
Space Grotesk includes Latin Vietnamese, Pinyin, and all Western, Central, and South-Eastern European language support, as well as several OpenType features (old-style and tabular figures, superscript and subscript numerals, fractions, stylistic alternates).
 
 
To contribute, see  github.com/floriankarsten/space-grotesk ."
varta,"Varta is a sans serif family that fuses warm humanity with bright clarity and professional crispness whos congenial personality emerges at larger sizes. 
 It is a variable font that has been designed to render well down to surprisingly small sizes and on both low and high-quality screens, which provides a broad range of utility. 
 Its features make it well suited to a variety of tasks, including sign systems, editorial design, packaging, and extended reading on screens. 
 To contribute, see  https://github.com/SorkinType/Varta 
 Varta is published by  Sorkin Type ."
sora,"Sora, meaning sky in Japanese, is a typeface family commissioned for the  Sora  decentralized autonomous economy focused on empowering projects that benefit society. Soramitsu, the developer of Sora, is a Japanese technology company specializing in blockchain development and well-known for creating the first central bank digital currency. 
 Sora typeface was designed to capture Soramitsu's spirit and heritage resulting in a type family with cues of low-resolution aesthetics and early screen typography but without nostalgia, as every decision was considered towards the crisp digital environment of today. The particularly big x-height combined with evidently generous counters turns the family into a convenient tool for app and web interfaces, where clarity and effectiveness at any size is an imperative. 
 To contribute, see  github.com/sora-xor/sora-font"
ibmplexsans,"IBM Plex® is the corporate typeface for IBM worldwide and an open-source project developed by the IBM Brand &
    Experience team (BX&D). Plex is an international typeface family designed to capture IBM’s brand spirit
    and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since
    the turn of the century. The result is a neutral yet friendly Grotesque style typeface that balances design with the
    engineered details that make Plex distinctly IBM.  The
    family  includes a Sans, Sans Condensed, Mono, and Serif and has excellent legibility in print, web, and mobile
    interfaces.
 
 
    Plex’s three designs work well independently and even better together. Use the Sans as a
    contemporary compadre, the Serif for editorial storytelling, or the Mono to show code snippets. The unexpectedly
    expressive nature of the italics gives you even more options for your designs. Currently, IBM Plex Sans supports
    Extended Latin, Arabic, Cyrillic, Devanagari, Greek, Hebrew, Japanese, Korean and Thai."
ibmplexserif,"IBM Plex® is the corporate typeface for IBM worldwide and an open-source project developed by the IBM Brand &
    Experience team (BX&D). Plex is an international typeface family designed to capture IBM’s brand spirit
    and history and to illustrate the unique relationship between mankind and machine—a principal theme for IBM since
    the turn of the century. The result is a neutral yet friendly Grotesque style typeface that balances design with the
    engineered details that make Plex distinctly IBM.  The
    family  includes a Sans, Sans Condensed, Mono, and Serif and has excellent legibility in print, web, and mobile
    interfaces.
 
 
    Plex’s three designs work well independently and even better together. Use the Sans as a
    contemporary compadre, the Serif for editorial storytelling, or the Mono to show code snippets. The unexpectedly
    expressive nature of the italics gives you even more options for your designs. Currently, IBM Plex Sans supports
    Extended Latin, Arabic, Cyrillic, Devanagari, Greek, Hebrew, Japanese, Korean and Thai."
adamina,"Adamina is a typeface designed for text setting in small sizes. 
For this purpose the x-height is increased and contrast lowered. 
Proportions are transitional and compact. 
Refined design features like one-sided flaring and asymmetrical serifs are there to provide a pleasant reading experience.
 
 
Designed by Alexei Vanyashin for Cyreal.
 
 
To contribute to the project, visit  github.com/cyrealtype/Adamina 
 
 
 Updated:  January 2016 to Version 1.012, to correct GPOS table (enabling kerning.)"
barlow,"Barlow is a slightly rounded, low-contrast, grotesk type family.
Drawing from the visual style of the California public, Barlow shares qualities with the state's car plates, highway signs, busses, and trains.
 
 
This is the Normal family, which is part of the superfamily along with
 Semi Condensed  and
 Condensed ,
each with 9 weights in Roman and Italic.
 
 
 
The Barlow project is led by Jeremy Tribby, a designer based in San Francisco, USA.
To contribute, see  github.com/jpt/barlow"
bitter,"People read and interact with text on screens more and more each day.
 What happens on screen ends up being more important than what comes out of the printer.
 With the accelerating popularity of electronic books, type designers are working hard to seek out the ideal designs for reading on screen.
 
 
 Motivated by her love for the pixel, Sol Matas designed Bitter.
 A ""contemporary"" slab serif typeface for text, it is specially designed for comfortably reading on any computer or device.
 The robust design started from the austerity of the pixel grid, based on rational rather than emotional principles.
 It combines the large x-heights and legibility of the humanistic tradition with subtle characteristics in the characters that inject a certain rhythm to flowing texts.
 
 
 Bitter has little variation in stroke weight and the Regular style is thicker than a usual ‘Regular’ style for print design.
 This generates an intense color in paragraphs, accentuated by the serifs that are as thick as strokes with square terminals.
 
 
 Each glyph is carefully designed with an excellent curve quality added to the first stage of the design, that was entirely made in a pixel grid.
 The typeface is balanced and manually spaced to use very few kerning pairs.
 
 
 To contribute, see
  
  github.com/solmatas/BitterPro
  
 ."
domine,"From the very first steps in the design process, Domine was designed, tested and optimized for body text on the web.
Harmless to the eyes when reading long texts, Domine is a perfect choice for newspapers or magazines websites, where text is the main focus.
It shines at px sizes 14 and 16, and can even be used as small as 11 px.
 
 
Friendly in appearance, it combines the classic elements of familiar typefaces that have been in use from more than 100 years like
 Clarendon , 
 Century , 
 Cheltenham  and 
 Clearface .
 
 
 
The rounded letters (b, c, d, e, o, p, q) are a bit squarish on the inside.
This feature opens up the counters for better rendering and also make it look a bit more up-to-date than the classic typefaces previously referenced.
 
 
The serifs are a bit shorter than usual.
Another feature that improves the rendering by allowing more ""air"" between each letter pair.
 
 
The joins of the stems to the branches in letters like h, m, n are deep enough to prevent dark spots, also improving legibility at small sizes.
 
 
The friendly lowercase 'a', with the curve starting from the bottom of the stem, is reminiscent of Cheltenham and Clearface.
That soft curve is also echoed in the curves of the f, j, n, m and r.
 
 
The spacing is also optimized for body text on the web, clearly more open than that of typefaces made for print or for headlines.
 
 
 To contribute, see  github.com/googlefonts/Dominee ."
grandstander,"Grandstander  is a display variable font with a weight axis. 9 weights, upright and italic. It supports a wide range of languages in the latin script scope.
 
 
The Grandstander project is led by Tyler Finck — type designer running  Etcetera Type Co  in Ithaca, New-York, USA.
To contribute, see  github.com/Etcetera-Type-Co/Grandstander"
heebo,"Heebo is a Hebrew and Latin typeface family, which extends Christian Roberton's Roboto Latin to Hebrew. The Hebrew was drawn by Oded Ezer and the font files were mastered by Meir Sadan. 
 Since the Hebrew design of this family is primary, the vertical metrics are different to the original Roboto family. This family is auto-hinted, whereas Roboto is hand-hinted, so the rendering quality of Roboto may be better on older Windows machines. 
 In May 2020, the family has been updated to a variable font family. 
 The November 2023 update fixed some Hebrew bugs and improve the langage support. 
 The Heebo project is led by Oded Ezer, a type designer based in Tel Aviv, Israel. To contribute, see  github.com/OdedEzer/heebo"
karla,"Karla is a grotesque sans serif family which has been expanded now to a variable font with a weight axis ranging from ExtraLight to ExtraBold plus full support of Western, Central, and South-Eastern European languages.
 
 
To contribute, see  github.com/googlefonts/karla ."
literata,"Now in its third version, Literata is a distinct variable font family for digital text. Originally created as the brand typeface for Google Play Books, it exceeds the strict needs of a comfortable reading experience on any device, screen resolution, or font size. The family has matured into a full-fledged digital publishing toolbox — headline, paragraph, and caption text. Type Together redesigned it from the ground up as a variable font. Its tiny file size and infinite adjustability make it perfect for developers, mobile apps, and every screen imaginable. It’s the “every-device font”. Get the entire type family for FREE!
 
 
   Literata was designed by TypeTogether: Veronika Burian & José Scaglione (Latin), Irene Vlachou (Greek), Vera Evstafieva (Cyrillic) and Elena Novoselova (Cyrillic).
 
     
    The family won the GOLD Indigo Awards in 2021 and is the Modern Cyrillic 2021 winner. Two versions of the family exist, one for print and the other for Ebooks. This is the print version of the family.
 
 
To contribute, see  github.com/googlefonts/literata"
lora,"Lora is a well-balanced contemporary serif with roots in calligraphy. It is a text typeface with moderate contrast well suited for body text. 
 A paragraph set in Lora will make a memorable appearance because of its brushed curves in contrast with driving serifs. The overall typographic voice of Lora perfectly conveys the mood of a modern-day story, or an art essay. 
 Technically Lora is optimised for screen appearance, and works equally well in print. 
 In March 2019, the family has been updated to a variable font family. 
 To contribute, see  github.com/cyrealtype/Lora-Cyrillic ."
mate,"Simple in its structure; sharp and generous counter-shapes which create a medium texture that calls for good page color, in addition to offering a more relaxed reading experience for each line of text: Mate.   The italics that accompany the regular style show their quality in the shading of strokes, in the counters and the unusual shapes for this style as well as the calligraphic reminiscences that give this style a different and pleasant visual rhythm.   The Small Caps (SC) style, featuring traditional proportions, completes this initial release with its medium height numbers in all styles.   The primary use for the family is in text, yet due to the constructive details of letterforms, this family can be used in larger sizes for display typography. 
 The February 2023 update features a bigger glyphset, fractions and some minor aesthetic modifications. 
 To contribute, see  github.com/etunni/mate ."
neuton,"Neuton is a clean, dark, somewhat Dutch-inspired serif font which reminds you a little of Times. It has a large height, short extenders, and a compact width for better screen use, and economy of space.   The family will comprise a regular, italic, and cursive, each in five weights and with smallcaps. Two italics — one will be called ""italic"", and the other ""cursive"" — are uncommon, but very useful. Ever tried emphasizing something already emphasized? Beyond that obvious example, there are other uses.   Sometimes a text needs a different flavor or feel. While one roman can work for a variety of texts, the companion italics don't always. In more classical or personal documents, a stiff, sober, modern and down-to-earth italic will never work. And in many essays, some of the fancier italics look ridiculous. Who said a roman needs only one companion?"
notoserif,"Noto is a global font collection for writing in all modern and ancient
  languages. Noto Serif is a modulated (“serif”) design for texts in the
   Latin, Cyrillic  and  Greek  scripts, also suitable as the
  complementary font for other script-specific Noto Serif fonts. It has italic
  styles, multiple weights and widths, and 3,256 glyphs."
padauk,"Padauk is a fully capable Unicode 6 font supporting all the Myanmar characters in the standard.
Thus it provides support for minority languages as well, in both local and Burmese rendering styles.
 
 
Downloads of Padauk include the necessary Graphite smarts to render the Myanmar script correctly.
Thus if you want to use this font at full fidelity to the orthography, you will need to use Graphite-capable applications, such as the latest versions of LibreOffice.
However the web font files served by Google Fonts do not include Graphite tables. 
Fortunately, Padauk also has OpenType tables which allow it to be rendered in a basic way, in applications that support OpenType shaping such as Word. 
The web font files served by Google Fonts include the OpenType tables, so the font will work in most web browsers. 
 
 The last upgrade in July 2022, offers an major language support update. 
 
The Padauk project is maintained at  https://github.com/silnrsi/font-padauk ."
vollkorn,"Vollkorn came into being as the first typeface design by Friedrich Althausen.
First published in 2005 under a Creative Commons license, it was soon downloaded thousands of times and used in all kinds of web and print projects.
 
 
It intends to be a quiet, modest and high quality text face for bread and butter use.
Unlike many text typefaces from the Renaissance period until now, it has dark and meaty serifs and a bouncing and healthy look.
It might be used in body copy, or just as well for headlines and titles.
»Vollkorn« (pronounced »Follkorn«) is German for »wholemeal« which refers to the old term »Brotschrift«.
It stood for the small fonts for every day use in hand setting times.
 
 
In May 2020, it was updated to be a Variable Font with a ""Weight"" axis in both Roman and Italic.
 
 
The Vollkorn project is led by Friedrich Althausen, a typeface designer in Germany.
To contribute, see  github.com/FAlthausen/Vollkorn-Typeface"
zillaslab,"Zilla Slab is Mozilla's core typeface, used for the Mozilla wordmark, headlines and throughout their designs. 
A contemporary slab serif, based on Typotheque's Tesla, it is constructed with smooth curves and true italics, which gives text an unexpectedly sophisticated industrial look and a friendly approachability in all weights.
 
 
Designed  by Typotheque , this project is led by Mozilla. 
To contribute, see  github.com/mozilla/zilla-slab"
trirong,"Trirong means “tricolor flag” in Thai, and represents the flag of Thailand.
A serif Latin and looped Thai typeface, it is characterized by thick and thin strokes, and its narrow and tall structure echoes that of traditional Thai typefaces. 
It saves space while preserving readability and legibility with its oval-shape looped terminal. 
This looped Thai and Transitional serif Latin works well in formal contexts. 
 
 
The similarity between some glyphs such as ก ถ ภ ฤ ฦ, and ฎ and ฏ is something to take into consideration because it might lead to confusion when typesetting very short texts. 
Trirong takes a specific approach in how it deals with the thick and thin strokes in Thai glyphs. 
Other type designers of Thai fonts may like to use this approach as a reference.
Formal looped Thai typefaces have delicate details, so it is important for type designers to take care when extending them into heavy weights and avoid obscuring important details. 
The sizes and positions of vowels and tone marks need to be managed carefully too, because they are all relevant to readability, legibility, and overall texture.
 
 
The Trirong project is led by Cadson Demak, a type foundry in Thailand. 
To contribute, see  github.com/cadsondemak/trirong"
prata,"Prata is an elegant Didone typeface with sharp features and organic teardrops. There is a certain tension in the contrast of its virile serifs and soft refined curves. Its triangular serifs complement and accent the thin strokes, and the high contrast means it will work best in display sizes.   Designed by Ivan Petrov for Cyreal."
chilanka,"Chilanka is Malayalam handwriting style font designed by Santhosh Thottingal. It follows the common style one can see in everyday handwriting of Malayalam. It has a comprehensive Malayalam glyph set that contains most of the unique Malayalam conjuncts. 
 To contribute, see  gitlab.com/smc/fonts/chilanka ."
athiti,"Athiti is a Thai word for the Sun, and it is an informal sans Latin and loopless Thai typeface. 
The friendly personality is based on humanist calligraphy, and has an organic look and feel while preserving the traditional construction of Roman type. 
It all started with a desire to learn more about the origin of strokes in human handwriting. 
It is designed to reflect a trace of writing tools and convey its inspiration. 
The family consists of 6 weights that can be used in headlines or body text.
 
 
The outer curves contrast with the angled inner counter shapes, which distributes feelings of strength and softness at the same time. 
Athiti can be used with a mixture of formal and informal content, for example in educational work.
 
 
A similarity between some glyphs such as ก ถ ภ ฤ ฦ, ฎ ฏ, บ ป, or ข ช is something to take into consideration because it might lead to confusion when typesetting very short texts. 
A specific approach has been taken for dealing with thick and thin strokes in the Thai design. 
Other type designers may consider this font as an example when developing new fonts. 
 
 
Informal loopless Thai typefaces have slightly simplified details, as compared to the formal looped style, and this allows type designers to extend loopless families to very black weights.
Sizes and positions of vowels and tone marks need to be managed carefully because they are all relevant to readability, legibility, and overall texture.
Also, in this case, ink trapping is required when connecting two specific strokes of each glyph, and it has to be done carefully, as it has been in Athiti.
 
 
The Athiti project is led by Cadson Demak, a type foundry in Thailand. 
To contribute, see  github.com/cadsondemak/athiti"
mukta,"Mukta is a Unicode compliant, versatile, contemporary, humanist, mono-linear typeface family available in seven weights, supporting Devanagari, Gujarati, Gurumukhi, Tamil and Latin scripts.
This type family is a libre licensed version of Ek's self-titled multi-script project, an ongoing effort to develop a unified type family for each Indian script.
The goal is to build one harmonious family across all Indian scripts without letting the visual features of one script dominate over others.
This ensures that the fonts can be used successfully for both single and multi-script purposes.
 
 
Mukta was designed by Girish Dalvi and Yashodeep Gholap.
 Mukta Vaani  was designed by Noopur Datye and Pallavi Karambelkar with support from Sarang Kulkarni and Maithili Shingre.
 Mukta Malar  was designed by Aadarsh Rajan.
 Mukta Mahee  was designed by Shuchita Grover and Noopur Datye.
 
 
Ek would like to thank Vinay Saynekar, Santosh Kshirsagar, Shubhanand Jog, Yogesh Jahargirdar, Pradnya Naik, Snehal Patil, Omkar Shende and Dave Crossland for their suggestions and feedback during the font design process.
Ek would also like to thank faculty and friends from the Industrial Design Centre, IIT Bombay, and from Sir J J Institute of Applied Art, for their support and encouragement.
 
 
This project is led by Ek Type, a collective of type designers based in Mumbai focused on designing contemporary Indian typefaces.
To contribute, see  github.com/EkType/Mukta"
sarabun,"Sarabun is an open source multi-script webfont that supports both Latin and Thai. It is the ""TH Sarabun New"" font, made available under the Open Font License. The name ""Sarabun"" (สารบรรณ, RTGS: Saraban) means documentary affairs. The font is used in the Government Gazette of Thailand newspaper, and you can read more details about this font project on Wikipedia's  National Fonts  page."
kadwa,"Kadwa is a Devanagari typeface family designed by Sol Matas. 
It is based on the original Latin typeface  Bitter , a slab serif typeface for text.
 
 
People read and interact with text on screens more and more each day. 
What happens on screen ends up being more important than what comes out of the printer. 
With the accelerating popularity of electronic books, type designers are working hard to seek out the ideal designs for reading on screen.
 
 
Motivated by Sol's love for the pixel she designed Bitter, and later Kadwa.
A ""contemporary"" slab serif typeface for text, it is specially designed for comfortably reading on any computer or device. 
The robust design started from the austerity of the pixel grid, based on rational rather than emotional principles. 
It combines the large x-heights and legibility of the humanistic tradition with subtle characteristics in the characters that inject a certain rhythm to flowing texts.
 
 
It has little variation in stroke weight and the Regular is darker than a typical typeface intended for use in print.
This generates an intense color in paragraphs, accentuated by the serifs that are as thick as strokes, with square terminals.
 
 
Each glyph is carefully designed with an excellent curve quality added to the first stage of the design, that was entirely made in a pixel grid. 
The typeface is balanced and manually spaced to use very few kerning pairs, especially important for web font use since most browsers do not currently support this feature.
 
 
The Kadwa project is led by Sol Matas, a type designer based in Berlin, Germany. 
To contribute, see  github.com/solmatas/Kadwa"
sura,"Sura is a Devanagari typeface family designed by Carolina Giovagnoli. 
It is based on the original Latin typeface  Andada , a serif typeface for text.
 
 
Andada is a text font with an organic-slab serif, hybrid style, a solid design of medium stroke contrast. 
This font has received an award at the 2010 Ibero-America Design Biennial. 
The Biennial was shown in Spain, Argentina, Chile, El Salvador, Uruguay, Bolivia, Colombia and Venezuela.
 
 
The Sura project is led by Carolina Giovagnoli, a type designer based in Argentina. 
To contribute, see  github.com/CaroGiovagnoli/sura"
ibarrarealnova,"In 2007, The Calcografía Nacional Española organized a project directed by José María Ribagorda with the objective of divulging the invaluable typographic heritage produced in Spain in the 18th century through the ""Imprenta Real"". 
 This project included the recovery of the types designed by Geronimo Gil for the edition of the most beautiful ""Quixote"" never edited, printed by Joaquín Ibarra for the “Real Academia de la Lengua” in 1780. This font was called “Ibarra Real”. 
 José María Ribagorda decided in 2015 that Octavio Pardo would be the first collaborator to play the design. Octavio was the first student of the University of Reading MA Typeface Design program to study this project. 
 The Ornaments made by celebrated Latin American and Spanish designers would not be included until their authors allow them to be distributed under the SIL Open Source License. 
 To contribute, see  Ibarra Real GitHub"
faustina,"Faustina is part of the Omnibus-Type Press Series, designed by Alfonso Garcia for editorial typography (books, newspapers and magazines) in print and online. In September 2019, the family has been converted into a variable font family.
 
 
To contribute to the project, visit  github.com/Omnibus-Type"
librefranklin,"Libre Franklin is an interpretation and expansion of the 1912 Morris Fuller Benton classic. 
 
 
The Libre Franklin project is led by Impallari Type, a type design foundry based in Rosario, Argentina. 
To contribute, see  github.com/googlefonts/Libre-Franklin"
khand,"Khand is a family of compact mono-linear fonts with very open counter forms. Developed for display typography, the family is primarily intended for headline usage. 
Its letterforms are dynamic, and everything is designed according to a modular system. 
All of its shapes bear a strong commonality to one another, but the typeface strikes a good balancing act and avoids too much repetitiveness. 
The lighter styles are suitable for short paragraphs of running text, while the heavier styles have been optimized for headlines or single word settings.
 
 
The base character height in the Khand fonts is ‘big on the body.’ 
Across a line of text, the consonantal forms take up the majority of vertical space. 
Vowel marks above and below have been shortened – keeping these to a minimum allows for lines of text to be set more closely together vertically. 
The reduction of interlinear space is paramount for successful headline typesetting, and Khand performs much better in display applications than similar fonts with more elongated vowel marks. 
Because of their reduced height, the typeface’s vowel mark forms have been simplified somewhat out of necessity, but this stylistic reduction is in-keeping with the modular feeling of the typeface’s overall design. 
Dot-shaped marks appear rounded in order to help maintain their differentiation from other marks.
 
 
Khand’s Devanagari component was designed by Sanchit Sawaria and Jyotish Sonowal. 
The Latin component was designed by Satya Rajpurohit. 
To contribute, see  github.com/itfoundry/khand"
thasadith,Thasadith is a Thai and Latin family. It's a humanist sans serif with rounded corners. It was originally developed as part of the  Srisakdi  family.
yrsa,"Intended for continuous reading on the web (longer articles in online news, magazines, blogs), Yrsa supports over 92
languages. A special consideration was given to Central and East European languages and proper shaping of their
accents.
A version that also supports 2 languages in the Gujarati script (Gujarati and Kachchi), is available as  Rasa . In terms of glyphs included Rasa is a superset of
Yrsa and includes the complete Latin, but in Rasa the Latin may be adjusted to support the primary Gujarati font.
 
 
It is a deliberate experiment in remixing existing typefaces: 
The Latin part began with Eben Sorkin's  Merriweather .
The Gujarati began with David Březina’s  Skolar Gujarati .
 
 
To contribute, see  github.com/rosettatype/yrsa ."
nunito,"Nunito is a well balanced sans serif typeface superfamily, with 2 versions:
    The project began with Nunito, created by Vernon Adams as a rounded terminal sans serif for display typography.
    Jacques Le Bailly extended it to a full set of weights, and an accompanying regular non-rounded terminal version,  Nunito Sans .
 
 
    To contribute, see  github.com/googlefonts/nunito ."
rubik,"Rubik is a sans serif font family with slightly rounded corners designed by Philipp Hubert and Sebastian Fischer at  Hubert & Fischer  as part of the  Chrome Cube Lab  project.
 
 
Rubik is a 5 weight family with Roman and Italic styles, that accompanies  Rubik Mono One , a monospaced variation of the Black roman design.
 
 
Meir Sadan redesigned the Hebrew component in 2015.
Alexei Vanyashin redesigned the Cyrillic component in 2016.
 
 
To contribute, see  github.com/googlefonts/Rubik ."
simonetta,"The Simonetta font is named in honour of Simonetta Vespucci. She was considered to be the most beautiful woman in Renaissance Florence and was nicknamed 'La Bella Simonetta.' She was a model for Sandro Botticelli's painting 'The Birth of Venus' and many of his other female characters.   The Simonetta font is inspired by Italian Humanistic typefaces, but it is contemporary and has many original features. It has one-sided serifs and soft drops, is slightly slanted (some two degrees) and the Italics have the same slant. The Romans and Italics differ from each other only in their shapes, with the italics being much more calligraphic and angular.   Designed by Gayaneh Bagdasaryan for Brownfox. To contribute to the project contact  Gayaneh Bagdasaryan ."
gloock,"Gloock is a contemporary high-contrast serif typeface intended for display use. It draws inspiration from newspaper's headlines but with a contemporary approach. Its main focus is the smooth relationship between the thin and thick strokes. It's a perfect typeface for headlines and has a great performance anywhere in big sizes. 
 To contribute, see  github.com/duartp/gloock ."
inter,"Inter is a variable font family carefully crafted & designed for computer screens.
 
 
 Inter features a tall x-height to aid in readability of mixed-case and lower-case text.
 Several OpenType features are provided as well, like contextual alternates that adjusts punctuation depending on the shape of surrounding glyphs, slashed zero for when you need to disambiguate ""0"" from ""o"", tabular numbers, etc.
 
 
 The Inter project is led by Rasmus Andersson, a Swedish maker–of–software living in San Francisco.
 To contribute, see
  
  github.com/rsms/inter"
orbitron,"Orbitron is a geometric sans-serif typeface intended for display purposes. It features four weights (light, medium, bold, and black), stylistic alternatives, small caps, and a ton of alternate glyphs. Orbitron was designed so that graphic designers in the future will have some alternative to typefaces like Eurostile or Bank Gothic. If you’ve ever seen a futuristic sci-fi movie, you may have noticed that all other fonts have been lost or destroyed in the apocalypse that led humans to flee earth. Only those very few geometric typefaces have survived to be used on spaceship exteriors, spacestation signage, monopolistic corporate branding, uniforms featuring aerodynamic shoulder pads, etc. Of course Orbitron could also be used on the posters for the movies portraying this inevitable future. It was initially published on the  League of Movable Type . 
 Orbitron was remastered as a variable font in 2019. To contribute updates or file issues, see  https://github.com/theleagueof/orbitron ."
mulish,"Mulish is a minimalist Sans Serif typeface, designed for both display and text typography.
 
 
It was initially drawn in 2011 by Vernon Adams and then refined until 2014, adding more weights, support for more Latin languages, tightened the spacing and kerning and made many glyph refinements throughout the family – all based on hundreds of users' feedback.
In 2017 the family was updated by Jacques Le Bailly to complete the work started by Vernon after he passed away, in collaboration with his wife Allison, an arist who holds the trademark on the typeface family name.
In August 2019, it was updated with a Variable Font ""Weight"" axis.
 
 
To contribute, see  github.com/googlefonts/mulish"
limelight,"Limelight is a sensitive rendition of the classic high contrast art deco
style geometric sans serif. This style is often used to suggest the 1920's
time period as well as the theatre generally and hollywood filmmaking in
particular. Because of the extreme contrast of the design it will perform most
reliably on web pages at medium and large font sizes."
play,"Play is a minimalistic sans serif typeface designed by Jonas Hecksher during his time as Type Director of  Playtype Type Foundry . 
All letters in Play derive from the 'O' – square and circular at the same time. 
Play is designed with large, open counters, ample lowercase x-heights and a corporate, yet friendly appearance. 
The combination of these qualities give Play both a high legibility and readability."
mada,"Mada is a modernist, unmodulted Arabic typeface inspired by road signage seen around Cairo, Egypt, by Khaled Hosny. 
The Arabic component is characterized by low descenders, open contours, and low contrast forms, making it suitable for signage, small point sizes, and user interfaces. 
However Mada can work also as a display typeface, with a modernist and simplistic feeling.
The Latin component is a slightly modified version of Source Sans Pro, led by Paul Hunt at Adobe Type. 
 
 
To contribute, see  github.com/aliftype/mada"
ralewaydots,"A dotted version of  Raleway , for posters and big headlines.
 
 
It is a display face and the downloadable font features both old-style and lining numerals, standard and discretionary ligatures, as well as stylistic alternates that are inspired by more geometric sans-serif typefaces than the default which is neo-grotesque.
 
 
To contribute to the project, visit  github.com/impallari/Raleway"
